customerid,firstname,region,dateenrolled,loyaltypoints,preferredcontact
1157,Cheryl Wu,West,12/10/2021,958.0,phone
1158,Kelly Gallagher,East,3/2/2024,317.0,email
1159,Kelli Smith,North,1/28/2022,149.0,phone
1160,Phillip Soto,West,4/21/2023,595.0,text
1161,David Ellis,East,1/2/2023,980.0,text
1162,Deborah Rice,East,1/14/2022,988.0,phone
1163,Elizabeth Vaughn,West,5/1/2023,607.0,text
1164,William Ramsey,North,5/4/2023,746.0,email
1165,Richard Burnett,Central,7/24/2022,185.0,text
1166,David Mccullough,South-West,12/15/2021,829.0,email
1167,Terry Frederick,North,12/20/2021,708.0,phone
1168,Denise Gonzales,South,5/2/2022,786.0,email
1169,Michael Edwards,South-West,9/26/2023,223.0,email
1170,Eric Davis,North,10/15/2023,782.0,text
1171,Ronald Marquez,South-West,4/21/2024,426.0,phone
1172,Eric Barr,East,2/1/2023,249.0,phone
1173,David King Md,North,9/14/2022,631.0,phone
1174,Deborah Saunders,West,12/25/2021,17.0,text
1175,Teresa Lopez,West,10/20/2021,801.0,email
1176,Ashley Williams,East,11/24/2021,445.0,email
1177,Katherine West,East,11/1/2020,456.0,email
1178,Katherine Kerr,East,11/13/2020,822.0,email
1179,Desiree Miller,East,12/21/2021,646.0,phone
1180,Jennifer Smith,South-West,10/3/2020,869.0,text
1181,Tiffany Smith,East,4/7/2024,513.0,text
1182,James Gray,West,7/24/2020,27.0,phone
1183,Kenneth Graves,East,5/8/2020,419.0,phone
1184,Brittney Chen,East,7/20/2023,386.0,text
1185,Cameron Levine,East,7/26/2021,267.0,email
1186,Timothy Williams,West,9/28/2021,736.0,email
1187,Kayla Solomon,North,6/10/2022,125.0,phone
1188,Ashley Todd,North,9/4/2023,462.0,phone
1189,Jennifer Farrell,North,11/18/2022,149.0,phone
1190,Elizabeth Robinson,South-West,12/27/2023,256.0,email
1191,Kyle Smith Jr.,South,10/31/2023,988.0,text
1192,Gregory Medina,East,6/6/2020,56.0,email
1193,Nancy King,South,5/23/2022,825.0,text
1194,Casey Brown,Central,2/9/2024,31.0,email
1195,Michael Lee,South-West,8/22/2023,482.0,email
1196,Dr. Elizabeth Johnston Dds,North,2/9/2022,577.0,phone
1197,William Wilson,West,4/4/2023,732.0,email
1198,Chris Allen,South-West,10/11/2022,29.0,email
1199,James Cooley,West,7/23/2020,961.0,text
1005,Jessica Mora,South,8/5/2021,665.0,email
